26412177,26324794,26086422,24408434,24195074,28405826,25437814,25927596,26018888,27385405,26390005,24831759,25765491,26109053,26170395,26088372,26871466,27512583,29767698,26627075,28871636,25062873,27473820,27579449,26964909,25592466,26365407,24944799,27488504,27347238,28526787,27150377,24739771,26292311,25422430,25583386,30133778,26679842,25617099,25849149,28763027,25687489,28424749,25674252,27057026,29214549,25091828,28706066,26646520,24782923,26811953,26432826,26515418,27193959,28821670,27131445,27349296,28591206,27040100,28670792,26273018,25458916,27383525,24323770,27944236,29233865,24522211,24483415,25153062,23342247,26782908,28450747,27418988,24873138,28259354,24754485,27769911,27610665,29541032,27574534,25272884,27661877,26577382,28749712,24291687,27106778,27473646,26647933,27311475,26210101,24387706,25493174,27540950,28604375,28687646,29018049,26415076,28562890,28120144,24545449
25471985,25162754,25126374,23473603,23989895,26622467,21584167,23908881,25839462,25255807,25017626,24455089,24515766,24569021,25434894,25442633,23873555,26904378,25670117,24784328,25732617,21857129,25103646,26929863,26852503,23262792,23025661,21736332,26230596,25384425,28155403,27094594,24975329,24839100,22545781,24199791,26520331,23511991,22308218,25126659,24175968,23923611,24910195,24867737,26250364,28147563,23333278,26287930,24580880,22920331,24680003,23773141,26014117,26672606,24640217,27143598,24501259,27951387,24265817,26103631,24724775,25359456,25063192,22748477,26700874,27680276,23247567,23462108,25982864,24060318,26138581,26095806,23794330,23767037,27589950,23975130,25422873,26759693,28296253,28369975,24093533,27108151,24756880,26517297,23688108,25501939,23365657,23067086,25337007,25716725,22416623,25739594,25808535,27559759,24720047,25963848,24612248,27802812,25578451,21818699
23158427,23426996,23618616,22836008,21707537,25660807,21808709,24323550,25032872,23965708,22695853,24135503,23480411,23157224,22481791,24991022,22354579,23348342,24471596,21518432,24585409,21729923,24338209,25145626,24270000,21913663,20969943,21463129,24257624,23810808,26870010,25420251,22164302,23113253,21352822,22153115,26908102,24055689,22427886,23429121,23943433,21850723,25121037,22677029,24124287,24481413,21520347,23944573,24120037,23696367,23255212,22213675,23791652,24802818,24215286,23546967,23006246,25444873,21908176,25472574,23692937,22779773,22640882,22203150,23958927,27300357,22727428,22402421,22763254,21557189,22925016,25304643,22065957,23008513,24796673,23013514,24507511,25957350,25475586,25162230,22189559,23381440,22221579,24084946,23010937,22987097,21799236,22319751,23157186,23812173,22418767,22842716,23191499,25666886,24720642,23648999,24008339,25856613,25144242,22268371
21993161,21578478,22373479,21561507,20318080,22892660,20606385,20184192,22500669,23222976,20755375,19345487,21804346,22153707,21454154,21770876,22220843,22681372,24129566,19791608,23053798,20924989,22287684,22854963,23789567,22164526,20918765,23281858,20690746,22302867,24282049,23355290,21325410,21702601,21669901,21262682,24878657,20737891,20276383,22169374,23916985,20876747,22738925,21479095,20305803,23718454,19288915,25810236,23254669,20157239,22898926,19814918,22928196,23513455,23294049,24461796,23331039,23482279,21797261,23894842,21214922,20811949,23507736,21429227,22782225,23471514,20479815,19724773,21671794,19989201,21510318,23888908,22535404,21969555,24936146,19952376,23650155,23868665,24358929,24930058,19367479,22486718,21307891,22994548,20655557,21586744,22766145,22286836,21004913,21217818,20779066,23562967,22774709,23862205,22213947,23810589,23293891,23410704,22679005,19971391
24249782,25521270,22236924,21901674,21250837,24705434,23553890,22017937,24732483,24305116,22184597,21660136,22989245,24411157,23579903,25090958,23466459,23012825,24984676,22862219,23421948,22548174,23442008,25410204,23830604,22122670,22077009,21780963,22740892,24996158,24447550,25152769,23767054,23116953,22801612,21842723,25215992,24699496,22499476,24434340,25741719,20915222,25049956,23580842,23580592,26042018,21655132,25772220,24353794,22728282,23083904,22707267,24197681,24454957,24760864,25054623,24451283,25713539,23661725,24509471,23292568,23459323,23498575,22123501,22599697,26458488,21510642,22076622,23490108,21742805,22624620,25283161,23530015,24256776,25711765,22334179,24683316,25204807,25910191,23917479,21617015,22695367,24460693,25445950,22372050,24397712,21462404,22827387,24472055,23281628,23348867,23717511,23830856,26433502,24984740,24783142,23929718,25370069,22147236,21853058
22662896,22990081,21765584,21328410,21053910,25090929,21906243,22495624,22481375,22635136,22266116,21990634,23548968,24884124,23506571,24328121,22926194,24155806,24693266,22652556,23041762,21810733,23763124,23817669,24239342,21515802,22321278,21175591,22942866,24083769,26828888,24717098,23201107,24914868,23117870,23112057,25705218,24173542,23903991,23507321,25143528,23050466,26320592,23255927,22581375,26436788,22242377,24414170,24306041,21792977,23354701,22178575,23194284,25418605,22745819,24552419,24111235,25825432,23444434,23899276,23960213,22008731,25376865,19501032,25230185,25749010,19761482,20716158,23239897,21103074,23731403,24596753,24411369,21986893,25210400,21293294,23853381,23910854,26730960,24243942,22614895,23172589,24494309,25700656,22208966,23179062,23595292,21282274,23904489,23932983,21449446,24738413,24021576,26052776,23617056,24501428,23115467,25118098,23286971,22206514
27684533,25350836,26542611,24762298,23047050,29152937,25405243,25794859,27284309,26241426,28467885,23664144,25060409,25412559,26104776,25910855,25737458,28407381,27976955,26253443,27228363,24533619,26196278,28276644,27589605,25641280,25827181,23605566,28292737,27206070,28935590,29580975,25467475,25569238,25858648,26634030,30482221,25776383,23398140,26429198,27819090,25440174,27140868,25605130,27383375,27639923,24405800,26188410,26963062,25209898,25622738,27026535,27212929,27437765,27192991,27186609,26663445,27334787,25511632,27694930,25555703,26985352,25979812,23252251,26757677,29095047,26001657,24595174,26618778,24050364,27670410,28210789,27000803,27504676,28041359,24264236,27303987,28691740,30114246,27542883,23703169,26831694,26959525,27836505,25309601,25931360,28352946,25049368,26120207,25647957,22092605,26163748,26829571,28787891,26855505,27619791,25349419,28247389,29425398,24269142
28259114,27090101,25839290,24458449,23113437,29829540,25474126,26564099,27401596,27224839,28184624,24916321,25654366,28035017,27107420,27619171,25406425,28361304,28842875,26549896,27427148,25769746,25664885,28565842,27215099,24698945,26784686,25420315,28565764,26970201,28869659,29971287,26786479,27460028,26501346,25149585,29253951,26925624,25577088,26759646,28909358,24827892,29955365,25044875,27514048,29305947,24586070,28533145,27810521,24144932,25692730,25516792,27592677,29030499,28139749,28272504,27446238,29233832,25363054,28634239,27320322,25518967,28007041,24363776,27045962,31705899,25264422,25653475,25899932,24506612,26641260,28719022,27179171,27780378,28397002,24925911,27936822,29964853,28985737,27983706,25358276,26643155,27285457,28533313,26506937,25953930,27437842,26602602,27157456,24857660,24067514,27281984,28986409,29005008,28993764,29560532,27375091,27406687,26909570,25160868
25020990,25662901,22768811,23020374,22969184,26168736,24304188,23541724,24500445,23323368,24170896,23089783,25551559,24653786,23513310,23908826,24152495,25539593,27190704,24335370,23693909,22329881,24471709,25281044,24716770,23315398,23696372,21062596,25844084,23064718,26981563,27037864,23091224,24746747,23791069,22514371,26816969,23572021,23075488,25911227,28081925,22169642,25702628,22144757,24781411,26791875,24829311,24662780,24653440,23588567,23262072,23475860,24246689,27210973,24739347,26285931,26234200,26680249,23098589,27160302,23301997,22446875,23481973,22667888,25253275,26951836,22977897,22529073,22849518,21190455,24145572,24711504,25180940,22369275,26851153,23809773,25878106,25762184,26784879,23991569,20957238,24082429,25315647,25054106,23146392,23448636,24634755,24676878,25907330,23516407,23788818,26888159,24751352,26583323,26338624,26813928,24588619,26725403,24982268,22005692
26838445,26126988,26234774,23338995,23399775,27577120,24617034,26044451,27706246,26935319,25541138,25087171,26786244,26179853,25143757,25545845,23523099,27237686,28189412,24928850,26806580,22841281,25523513,27130437,26740215,24073300,26075788,22125682,27396360,27383232,28257405,28066421,24821985,26924559,23653219,24797215,28557157,26175140,24837448,25393370,25943620,24458952,26521980,25483427,27166095,28030838,24250569,24877133,27179479,24706213,24537925,25935769,25760808,26087444,27024130,27171969,25914572,27816583,24559825,27152057,25840444,24607054,26474964,24025669,26595918,28027029,23229647,23369443,24045025,24455373,26729712,26685428,25400849,27697429,26620060,23975070,27443396,26874262,27258618,27978562,23474817,28084117,26148030,26915421,24703938,25432691,25232763,24803313,24656615,26022357,23342246,26056214,26177272,25968649,25705575,27259620,27018891,27571028,27121082,24093385
